,CUSTOMER_CLASS,LIFESTAGE,TOT_SALES
0,Budget,MIDAGE SINGLES/COUPLES,33345.7
1,Budget,NEW FAMILIES,20607.45
2,Budget,OLDER FAMILIES,156863.75
3,Budget,OLDER SINGLES/COUPLES,127833.6
4,Budget,RETIREES,105916.3
5,Budget,YOUNG FAMILIES,129717.95
6,Budget,YOUNG SINGLES/COUPLES,57122.1
7,Mainstream,MIDAGE SINGLES/COUPLES,84734.25
8,Mainstream,NEW FAMILIES,15979.7
9,Mainstream,OLDER FAMILIES,96413.55
10,Mainstream,OLDER SINGLES/COUPLES,124648.5
11,Mainstream,RETIREES,145168.95
12,Mainstream,YOUNG FAMILIES,86338.25
13,Mainstream,YOUNG SINGLES/COUPLES,147582.2
14,Premium,MIDAGE SINGLES/COUPLES,54443.85
15,Premium,NEW FAMILIES,10760.8
16,Premium,OLDER FAMILIES,76542.6
17,Premium,OLDER SINGLES/COUPLES,123531.55
18,Premium,RETIREES,91296.65
19,Premium,YOUNG FAMILIES,78571.7
20,Premium,YOUNG SINGLES/COUPLES,39052.3
